0028012023N0007843210000000000000078432154127898            FERBEX PRESTACAO DE SERVICO, LDA                                                                                        
1000468583300000000000004685833AMATABALA  GORPA NUNECA                                                    0000000540000000000000301454                                              
1000147033900000000000001470339AMATABALA  GORPA NUNECA                                                    0000000600000000000000863640                                              
1000509509200000000000005095092AMATABALA  GORPA NUNECA                                                    0000000540000000000000555500                                              
1000077082300000000000000770823AMATABALA  GORPA NUNECA                                                    0000000600000000000000511800                                              
1000110241700000000000001102417AMATABALA  GORPA NUNECA                                                    0000000540000000000000558900                                              
1000042643000000000000000426430AMATABALA  GORPA NUNECA                                                    0000000490000000000001042000                                              
1000559096200000000000005590962AMATABALA  GORPA NUNECA                                                    0000000500000000000000367340                                              
1000511419100000000000005114191AMATABALA  GORPA NUNECA                                                    0000000540000000000004854600                                              
1000362975800000000000003629758AMATABALA  GORPA NUNECA                                                    0000000900000000000004902400                                              
1000179156700000000000001791567AMATABALA  GORPA NUNECA                                                    0000000522000000000004950200                                              
1000135676800000000000001356768AMATABALA  GORPA NUNECA                                                    0000000522000000000004998000                                              
1000324252000000000000003242520AMATABALA  GORPA NUNECA                                                    0000000500000000000005045800                                              
1000110239800000000000001102398AMATABALA  GORPA NUNECA                                                    0000000900000000000005093600                                              
1000553658700000000000005536587AMATABALA  GORPA NUNECA                                                    0000000600000000000005141400                                              
1000511841700000000000005118417AMATABALA  GORPA NUNECA                                                    0000000800000000000005189200                                              
1000457045400000000000004570454AMATABALA  GORPA NUNECA                                                    0000000552000000000005237000                                              
1000121566400000000000001215664AMATABALA  GORPA NUNECA                                                    0000000490000000000005284800                                              
1000185425200000000000001854252AMATABALA  GORPA NUNECA                                                    0000000540000000000005332600                                              
1000550408100000000000005504081AMATABALA  GORPA NUNECA                                                    0000000900000000000005380400                                              
1000553659000000000000005536590AMATABALA  GORPA NUNECA                                                    0000000900000000000005428200                                              
1000532412100000000000005324121AMATABALA  GORPA NUNECA                                                    0000000490000000000005476000                                              
1000519690400000000000005196904AMATABALA  GORPA NUNECA                                                    0000000602000000000005523800                                              
1000575474800000000000005754748AMATABALA  GORPA NUNECA                                                    0000000500000000000005571600                                              
1000096506100000000000000965061AMATABALA  GORPA NUNECA                                                    0000000500000000000000550940                                              
1000548191700000000000005481917AMATABALA  GORPA NUNECA                                                    0000000650000000000000560300                                              
1000573284200000000000005732842AMATABALA  GORPA NUNECA                                                    0000000540000000000000447167                                              
1000173051800000000000001730518AMATABALA  GORPA NUNECA                                                    0000000490000000000000367340                                              
1000091894000000000000000918940AMATABALA  GORPA NUNECA                                                    0000000540000000000000473000                                              
1000526255400000000000005262554AMATABALA  GORPA NUNECA                                                    0000000650000000000001770000                                              
1000578205500000000000005782055AMATABALA  GORPA NUNECA                                                    0000000540000000000000320300                                              
1000098631200000000000000986312AMATABALA  GORPA NUNECA                                                    0000000490000000000000407000                                              
1000509341400000000000005093414AMATABALA  GORPA NUNECA                                                    0000000600000000000000473000                                              
1000008432400000000000000084324AMATABALA  GORPA NUNECA                                                    0000000490000000000000311208                                              
1000329058500000000000003290585AMATABALA  GORPA NUNECA                                                    0000000490000000000000393000                                              
1000110239300000000000001102393AMATABALA  GORPA NUNECA                                                    0000000522000000000000352300                                              
1000139922100000000000001399221AMATABALA  GORPA NUNECA                                                    0000000800000000000000320300                                              
1000110239600000000000001102396AMATABALA  GORPA NUNECA                                                    0000000540000000000000482000                                              
1000548333200000000000005483332AMATABALA  GORPA NUNECA                                                    0000000900000000000000320300                                              
1000468583100000000000004685831AMATABALA  GORPA NUNECA                                                    0000000552000000000000520300                                              
1000175165400000000000001751654AMATABALA  GORPA NUNECA                                                    0000001000000000000000345590                                              
1000210178200000000000002101782AMATABALA  GORPA NUNECA                                                    0000000700000000000000358000                                              
1000553658600000000000005536586AMATABALA  GORPA NUNECA                                                    0000000900000000000000588940                                              
1000509341500000000000005093415AMATABALA  GORPA NUNECA                                                    0000000500000000000000473000                                              
1000570027200000000000005700272AMATABALA  GORPA NUNECA                                                    0000000522000000000000411439                                              
1000018617300000000000000186173AMATABALA  GORPA NUNECA                                                    0000000522000000000003890000                                              
1000134963300000000000001349633AMATABALA  GORPA NUNECA                                                    0000000900000000000000618200                                              
1000164534700000000000001645347AMATABALA  GORPA NUNECA                                                    0000000522000000000000473000                                              
1000168589600000000000001685896AMATABALA  GORPA NUNECA                                                    0000000740000000000000480500                                              
1000110242700000000000001102427AMATABALA  GORPA NUNECA                                                    0000000490000000000000367340                                              
1000168589700000000000001685897AMATABALA  GORPA NUNECA                                                    0000000522000000000000367340                                              
